claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,age_outlier,age_extreme,safety_inv,safety_risk_flag,vehicle_income_ratio,low_income_high_car,high_claim_freq,claim_freq_score,no_witness,no_witness_repeat,mid_liab,witness_missing,price_per_weight,price_weight_zscore,price_weight_anomaly_flag,vehicle_price_zscore,vehicle_price_anomaly_flag,payout_per_vehicle_age,payout_age_zscore,payout_age_anomaly_flag,payout_to_vehicle_price_ratio,payout_price_ratio_flag,vehicle_anomaly_score,safety_risk,log_past_claims,driver_risk_score,vehicle_price_quantile,vehicle_risk_score,log_claim_payout,liab_ratio,claim_risk_score,composite_risk_score,log_composite_risk,triple_high_risk_flag,income_payout_gap,income_payout_risk,income_payout_anomaly_flag,driver_vehicle_interaction,high_claim_driver_anomaly_vehicle,_is_train,fraud
2759,58,M,1.0,83,117115,1,0,Own,85027,4/2/2015,Thursday,Local,0,1.0,88,Broker,0,0.0,4,Medium,55066.87556348014,other,21515.14956,0,0,0.011904761904761904,0,0.4701948987190381,0,0,0,0,0,0,0,2.5594465604024217,0.4293070628069923,0,1.179805917724375,0,0.0,-0.66188543066792,0,0.0,0,0,0.17,0.0,0.0,0.8537777777777777,0.8537777777777777,0.0,0.88,0.0,0.0,0.0,0,117113.82886171137,8.538701275793981e-06,0,0.0,0,1,0
11338,37,F,0.0,76,57945,1,0,Rent,85004,12/14/2015,Monday,Parking Lot,14,0.0,2,Broker,1,0.0,1,Large,29937.566096358787,blue,22570.44842,0,0,0.012987012987012988,0,0.5166548640324237,0,1,3,1,1,0,0,1.3264054628425823,-0.25402192651059546,0,-0.029588252741045613,0,0.0,-0.6789293319088264,0,0.0,0,0,0.24,2.70805020110221,0.6499320482645304,0.6218888888888889,0.6218888888888889,0.0,0.02,0.0,0.0,0.0,0,57944.42055579444,1.725791698727102e-05,0,-0.08012647378565159,0,1,0
23150,33,F,0.0,82,79027,1,0,Rent,85027,2/13/2016,Saturday,Local,0,1.0,95,Broker,1,0.0,1,Compact,15000.0,black,10701.0886,0,0,0.012048192771084338,0,0.1898085464461513,0,0,0,0,0,0,0,1.4017265482675039,-0.2256458151270955,0,-0.7583326912671867,0,0.0,-0.6789293319088264,0,0.0,0,0,0.18,0.0,0.0,0.4467777777777778,0.4467777777777778,0.0,0.95,0.0,0.0,0.0,0,79026.20973790261,1.2654029633839808e-05,0,-0.0,0,1,0
19040,43,F,0.0,40,98544,1,0,Own,15028,9/28/2015,Monday,Parking Lot,0,0.0,100,Broker,0,850.63,1,Large,92867.35440769266,white,21434.93439,0,0,0.024390243902439025,1,0.9423948125476199,1,0,0,1,0,0,0,4.332523378643635,1.3944935343292886,0,2.9849220022003458,1,425.3128734356328,-0.38655416161075223,0,0.009159623479463972,0,1,0.6,0.0,0.0,0.987,1.974,6.747152160205322,1.0,6.747152160205322,0.0,0.0,0,115.7122210853044,0.0086421287587376,0,0.0,0,1,1
10803,43,F,1.0,84,62619,1,1,Own,20148,2/4/2016,Thursday,Parking Lot,9,0.0,58,Broker,0,3375.85,1,Medium,74071.73486331945,blue,48036.29694,0,0,0.011764705882352941,0,1.1828955247340176,1,1,3,1,1,1,0,1.5419951071669658,-0.12943788606702128,0,2.0954315106542247,1,1687.9165604171978,0.48140444264738924,0,0.045575414235585525,0,1,0.16,2.302585092994046,0.36841361487904734,0.9497222222222222,1.8994444444444445,8.12469860127646,0.58,4.712325188740347,3.297596547280082,1.4580559239399253,0,18.543613075666336,0.053926894216925654,0,4.824909359822412,1,1,0
3290,33,M,0.0,24,67660,1,1,Own,85019,6/25/2016,Saturday,Highway,10,0.0,67,Broker,1,237.85,1,Compact,39595.265915836535,blue,26329.90983,0,0,0.04,1,0.5852093691374007,1,1,3,1,1,1,0,1.5038131978592653,-0.17010761879745134,0,0.40462733475290963,0,118.9244053779731,-0.5971764731389771,0,0.006007031255845136,0,0,0.76,2.3978952727983707,1.8224004073267617,0.7227222222222223,0.7227222222222223,5.475835739835971,0.67,3.668809945690101,4.832150221069242,1.7633857524454815,0,283.2740094924007,0.0035301507769470077,0,0.9702539732490059,0,1,0
26137,65,F,1.0,55,45982,1,1,Own,20153,11/11/2016,Friday,Local,12,0.0,100,Broker,1,1793.27,3,Large,15000.0,red,16699.65854,0,0,0.017857142857142856,0,0.3262146057152799,0,1,3,1,1,0,0,0.898221957957338,-0.488832119473981,0,-0.7451388272728282,0,448.316379209052,-0.09960286731853939,0,0.11955133325363244,0,0,0.45,2.5649493574615367,1.1542272108576916,0.4467777777777778,0.4467777777777778,7.4923535329667414,1.0,7.4923535329667414,3.8636798588008143,1.5817953239946112,0,25.627135126669145,0.03902112369743987,0,-1.9112433562330837,0,1,0
20586,51,F,1.0,84,82167,1,1,Own,85033,6/11/2016,Saturday,Local,8,0.0,1,Broker,0,877.52,1,Compact,15000.0,white,4998.0271,0,0,0.011764705882352941,0,0.1825550403446639,0,1,3,1,1,0,0,3.0011842012597647,0.644507074678438,0,-0.7583326912671867,0,438.7578062109689,-0.3773116374471145,0,0.05850133329433244,0,0,0.16,2.1972245773362196,0.3515559323737951,0.4467777777777778,0.4467777777777778,6.778238673446552,0.01,0.06778238673446552,0.010646401774592314,0.010590127896405812,0,93.52888843135173,0.010691882581445981,0,-1.6662272270497822,0,1,0
4756,51,F,1.0,46,111998,1,1,Rent,15049,9/11/2016,Sunday,Local,0,0.0,97,Online,1,1974.98,4,Medium,15000.0,black,18490.05859,0,0,0.02127659574468085,1,0.13393096305291166,0,0,0,1,0,0,0,0.8112467528902261,-0.5307365923116704,0,-0.7505560026592288,0,394.99521000958003,0.020256186220467605,0,0.13166533324555646,0,0,0.54,0.0,0.0,0.4467777777777778,0.4467777777777778,7.588819756799101,0.97,7.361155164095128,0.0,0.0,0,56.67972319213897,0.017642990601421743,0,-0.0,0,1,0
19697,63,F,1.0,72,59794,1,0,Own,20130,6/14/2016,Tuesday,Local,0,0.0,95,Broker,1,3851.14,2,Compact,94282.05097648971,black,38644.86554,0,0,0.0136986301369863,0,1.5767811314929543,1,0,0,1,0,0,0,2.4397044635723852,0.33904527304717585,0,2.9904316596470943,1,1283.7090543031522,0.691654216532362,0,0.040847011278444235,0,1,0.28,0.0,0.0,0.9885555555555555,1.977111111111111,8.256384117013532,0.95,7.843564911162855,0.0,0.0,0,15.52228108136703,0.06442347941795788,0,0.0,0,1,0
23991,47,M,1.0,43,108888,1,1,Own,85022,12/15/2016,Thursday,Parking Lot,0,0.0,13,Broker,0,3995.36,7,Large,15000.0,other,15800.7448,0,0,0.022727272727272728,1,0.1377562265814415,0,0,0,1,0,0,0,0.9493223376727644,-0.4608093444614374,0,-0.7451388272728282,0,499.41937572578036,0.6226885616118901,0,0.26635733315576177,0,0,0.57,0.0,0.0,0.4467777777777778,0.4467777777777778,8.293139225800665,0.13,1.0781080993540866,0.0,0.0,0,27.246794514891562,0.03670155153252766,0,-0.0,0,1,0
19512,59,F,1.0,91,110812,1,1,Own,85078,4/20/2015,Monday,Local,0,0.0,41,Broker,1,0.0,4,Compact,48796.87560924169,red,23175.18071,0,0,0.010869565217391304,0,0.4403573223950627,0,0,0,1,0,1,0,2.1055661312332448,0.15726400804414944,0,0.8397153018880379,0,0.0,-0.66188543066792,0,0.0,0,0,0.09,0.0,0.0,0.8063888888888889,0.8063888888888889,0.0,0.41,0.0,0.0,0.0,0,110810.89189108108,9.024383639946534e-06,0,0.0,0,1,0
25021,41,M,1.0,70,92973,0,0,Rent,85034,2/28/2015,Saturday,Local,14,0.0,50,Phone,1,0.0,11,Large,15000.0,red,23605.10513,0,0,0.014084507042253521,0,0.16133716240198767,0,1,3,1,1,1,0,0.6354557588723369,-0.6329296412314819,0,-0.7451388272728282,0,0.0,-0.6516635796956131,0,0.0,0,0,0.3,2.70805020110221,0.812415060330663,0.4467777777777778,0.4467777777777778,0.0,0.5,0.0,0.0,0.0,0,92972.0702792972,1.075591838375055e-05,0,-2.0178733510452473,0,1,1
22205,31,M,1.0,86,92834,0,1,Own,20164,2/19/2016,Friday,Highway,9,0.0,69,Broker,1,606.92,1,Medium,15000.0,other,22086.44797,0,0,0.011494252873563218,0,0.16157873193011182,0,1,3,1,1,1,0,0.6791494953639893,-0.603279292180235,0,-0.7505560026592288,0,303.4584827075864,-0.47032119634188524,0,0.04046133330635911,0,0,0.14,2.302585092994046,0.32236191301916645,0.4467777777777778,0.4467777777777778,6.41004329436153,0.69,4.422929873109455,0.6370086674462978,0.49287059308866316,0,152.70759059238733,0.0065484625265590825,0,-1.7282190631803398,0,1,1
26101,48,M,1.0,89,89906,1,0,Own,15033,12/2/2015,Wednesday,Highway,0,0.0,47,Broker,1,5122.01,1,Large,15000.0,black,17695.01417,0,0,0.011111111111111112,0,0.16684092274153003,0,0,0,1,0,1,0,0.847696410266454,-0.5165396641774062,0,-0.7451388272728282,0,2560.992195039025,1.0815876331857965,0,0.34146733310568844,0,0,0.11,0.0,0.0,0.4467777777777778,0.4467777777777778,8.541497435918558,0.47,4.014503794881722,0.0,0.0,0,17.54944843451516,0.0569818153495417,0,-0.0,0,1,0
2447,58,M,1.0,73,35649,1,0,Rent,20132,8/20/2016,Saturday,Parking Lot,14,0.0,81,Broker,1,1136.73,1,Compact,34786.85982300338,red,27563.54692,0,0,0.013513513513513514,0,0.9758158664479616,1,1,3,1,1,1,0,1.2620603549807143,-0.301628409270353,0,0.1772671551975491,0,568.362158189209,-0.28821700418357593,0,0.03267699371133087,0,0,0.27,2.70805020110221,0.7311735542975968,0.6743333333333333,0.6743333333333333,7.036790328188083,0.81,5.699800165832348,2.8103132614780684,1.3377114066190454,0,31.333444390730275,0.031914770313222825,0,0.4800483552815395,0,1,0
18874,62,F,1.0,96,55856,1,1,Own,20152,8/23/2015,Sunday,Parking Lot,0,1.0,0,Broker,1,1916.13,1,Compact,15000.0,gray,21797.50318,0,0,0.010309278350515464,0,0.2685476940704669,0,0,0,0,0,0,0,0.6881522103357931,-0.6138516366946346,0,-0.7583326912671867,0,958.0602096989516,-0.020324727012162886,0,0.12774199991483867,0,0,0.04,0.0,0.0,0.4467777777777778,0.4467777777777778,7.558584555039526,0.0,0.0,0.0,0.0,0,29.13521759538885,0.03432271111409706,0,-0.0,0,1,0
13168,50,M,1.0,73,99220,1,1,Rent,80002,3/26/2015,Thursday,Highway,18,0.0,63,Broker,1,1302.25,13,Medium,15000.0,silver,35564.86548,0,0,0.013513513513513514,0,0.15117919774239064,0,1,3,1,1,1,0,0.42176456436247856,-0.7446251319803182,0,-0.7505560026592288,0,93.01779070157808,-0.31631171586307155,0,0.0868166666087889,0,0,0.27,2.9444389791664403,0.7949985243749389,0.4467777777777778,0.4467777777777778,7.172616423648216,0.63,4.518748346898376,1.6050037149830598,0.9574341013014572,0,76.1327444762498,0.013134951006034568,0,-2.209966350277184,0,1,0
1872,44,F,0.0,69,43182,0,0,Own,85018,10/6/2015,Tuesday,Local,0,0.0,76,Broker,0,0.0,1,Compact,78576.37704529995,blue,10820.43667,0,0,0.014285714285714285,0,1.8196558067088127,1,0,0,1,0,1,0,7.261848977919434,2.962436380882457,1,2.2478061874858444,1,0.0,-0.6789293319088264,0,0.0,0,2,0.31,0.0,0.0,0.9635,2.8905000000000003,0.0,0.76,0.0,0.0,0.0,0,43181.56818431815,2.3158028802936813e-05,0,0.0,0,1,1
19673,47,M,1.0,53,83923,0,1,Own,80011,5/8/2015,Friday,Local,0,0.0,50,Broker,1,8020.52,1,Medium,100192.47751196906,white,12325.49515,0,0,0.018518518518518517,0,1.1938619628941893,1,0,0,1,0,1,0,8.128880520526614,3.487824580680782,1,3.3538896816989334,1,4010.239948800256,2.0778519959059816,0,0.08005111958870717,0,2,0.47,0.0,0.0,0.9932222222222222,2.9796666666666667,8.98988320908728,0.5,4.49494160454364,0.0,0.0,0,10.462231583961355,0.0955818112184489,0,0.0,0,1,0
