age_of_driver,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,past_num_of_claims,witness_present_ind,liab_prct,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_price,vehicle_weight,age_is_outlier,is_young_driver,is_senior_driver,safety_risk_score,low_safety_flag,is_low_income,is_high_income,log_annual_income,is_repeat_claimer,is_serial_claimer,is_extreme_claimer,log_past_claims,witness_absent,witness_unknown,no_verification,full_liability_flag,zero_liability_flag,extreme_liability_flag,no_police_report,zero_payout_claim,log_claim_payout,high_payout_flag,extreme_payout_flag,accident_parking,accident_highway,accident_local,log_vehicle_price,log_vehicle_weight,price_per_weight,residual_value_ratio,estimated_residual_value,payout_to_residual_ratio,over_value_claim_flag,payout_to_price_ratio,high_payout_ratio_flag,old_vehicle_flag,old_vehicle_high_claim,new_vehicle_flag,new_vehicle_high_claim,veh_size_Large,veh_size_Medium,veh_size_nan,vehicle_to_income_ratio,overpriced_vehicle_flag,payout_to_income_ratio,low_income_overpriced_vehicle,low_income_high_claim,no_witness_no_report,repeat_no_witness,living_status_rent,unstable_lifestyle,expensive_vehicle_flag,young_expensive_vehicle,channel_broker,channel_online,broker_no_report,unsafe_full_liability,income_safety_interaction,claim_month,claim_year,claim_quarter,claim_day,is_weekend_claim,is_monday_claim,day_of_week_num,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_month_end_claim,is_year_end_claim,is_winter_claim,is_summer_claim,weekend_no_witness,zip_fraud_rate_oof,is_high_risk_zip_oof,composite_risk_score,risk_grade,payout_to_income_ratio_clipped,payout_to_price_ratio_clipped,payout_to_residual_ratio_clipped,residual_to_income_ratio,claim_to_weight_ratio,claim_to_weight_ratio_clipped,payout_per_safety,vehicle_price_per_driver_age,serial_no_report,serial_no_witness,repeat_claim_full_liability,no_witness_no_report_full_liability,payout_to_income_ratio_clipped_top5_flag,payout_to_income_ratio_clipped_top1_flag,payout_to_price_ratio_clipped_top5_flag,payout_to_price_ratio_clipped_top1_flag,payout_to_residual_ratio_clipped_top5_flag,payout_to_residual_ratio_clipped_top1_flag,high_income_ratio_and_no_report,high_residual_ratio_and_repeat,composite_x_income_ratio,income_bin,claim_bin,income_claim_bin_gap,fraud
58,1.0,83,117115,1,0,0,1,88,0,0.0,4,55066.87556348014,21515.14956,0,0,0,17,0,0,1,11.670920175606447,0,0,0,0.0,0,0,0,0,0,0,1,1,0.0,0,0,0,0,1,10.9163218044919,9.976559074475128,2.5594465614730635,0.7,38546.812894436094,0.0,0,0.0,0,0,0,0,0,0,1,0,0.4701948987150233,0,0.0,0,0,0,0,0,0,1,0,1,0,1,0,1990955,4,2015,2,2,0,0,3,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0.1041545893719806,0,2,0,0.0,0.0,0.0,0.3291364291005162,0.0,0.0,0.0,949.4288726560565,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4,0,-4,0.0
37,0.0,76,57945,1,0,14,0,2,1,0.0,1,29937.566096358787,22570.44842,0,0,0,24,0,0,0,10.96726682136399,1,1,0,2.70805020110221,1,0,1,0,0,0,0,1,0.0,0,0,1,0,0,10.306902764253548,10.024441042320491,1.3264054633714886,1.0,29937.566096358787,0.0,0,0.0,0,0,0,1,0,1,0,0,0.5166548640235074,0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,1390680,12,2015,4,14,0,1,0,0.0,1.0,-2.4492935982947064e-16,1.0,0,1,1,0,0,0.1242987249544626,0,4,1,0.0,0.0,0.0,0.5166548640235074,0.0,0.0,0.0,809.1233861414973,0,1,0,0,0,0,0,0,0,0,0,0,4.0,1,0,-1,0.0
33,0.0,82,79027,1,0,0,1,95,1,0.0,1,15000.0,10701.0886,0,0,0,18,0,0,0,11.277557499033296,0,0,0,0.0,0,0,0,0,0,1,0,1,0.0,0,0,0,0,1,9.61587214452889,9.278194197663368,1.4017265494464062,1.0,15000.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.1898085464437495,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1422486,2,2016,1,13,1,0,5,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,0,0.1009673202614379,0,2,0,0.0,0.0,0.0,0.1898085464437495,0.0,0.0,0.0,454.5454407713503,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2,0,-2,0.0
43,0.0,40,98544,1,0,0,0,100,0,850.63,1,92867.35440769266,21434.93439,0,0,0,60,1,0,0,11.498268575626597,0,0,0,0.0,1,0,1,1,0,1,1,0,6.747152160205322,0,0,1,0,0,11.4389382253032,9.972823969871111,4.332523380462754,1.0,92867.35440769266,0.0091596234803516,0,0.0091596234803516,0,0,0,1,0,1,0,0,0.9423948125380568,0,0.0086319816527781,0,0,1,0,0,0,1,0,1,0,1,1,5912640,9,2015,3,28,0,1,0,0.0,1.0,-1.0,-1.8369701987210292e-16,1,0,0,0,0,0.2029390681003584,1,9,2,0.0086319816527781,0.0091596234803516,0.0091596234803516,0.9423948125380568,0.0396842828852864,0.0396842828852864,21.265749468356265,2159.705866232251,0,0,0,1,0,0,0,0,0,0,0,0,9.077687834875002,3,0,-3,1.0
43,1.0,84,62619,1,1,9,0,58,0,3375.85,1,74071.73486331945,48036.29694,0,0,0,16,0,0,0,11.044839994880396,1,1,0,2.302585092994046,1,0,1,0,0,0,1,0,8.12469860127646,1,0,1,0,0,11.212802793011267,10.77973300774993,1.5419951074558715,1.0,74071.73486331945,0.0455754142411231,0,0.0455754142411231,0,0,0,1,1,0,1,0,1.1828955247151272,1,0.0539109535435904,0,0,1,1,0,0,1,0,1,0,1,0,1001904,2,2016,1,4,0,0,3,0.4338837391175582,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,0,1,0,0,0.1525825825825825,0,9,2,0.0539109535435904,0.0455754142411231,0.0455754142411231,1.1828955247151272,0.0702770657810352,0.0702770657810352,40.18868999775369,1722.5984451330469,1,1,0,0,0,0,0,0,0,0,0,0,9.485198581892314,1,1,0,0.0
33,0.0,24,67660,1,1,10,0,67,1,237.85,1,39595.265915836535,26329.90983,0,0,0,76,1,0,0,11.12226522200674,1,1,0,2.3978952727983707,1,0,1,0,0,0,0,0,5.475835739835971,0,0,0,1,0,10.586490097741882,10.178498806773714,1.5038131983732934,1.0,39595.265915836535,0.0060070312572105,0,0.0060070312572105,0,0,0,1,0,0,0,0,0.5852093691287515,0,0.0035153709724576,0,0,0,1,0,0,0,0,1,0,0,0,5142160,6,2016,2,25,1,0,5,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,1,0,0,1,1,0.1589300411522634,0,6,2,0.0035153709724576,0.0060070312572105,0.0060070312572105,0.5852093691287515,0.0090334528878622,0.0090334528878622,9.910416253732656,1199.8565065448497,0,1,0,0,0,0,0,0,0,0,0,0,6.021092225834746,1,0,-1,0.0
65,1.0,55,45982,1,1,12,0,100,1,1793.27,3,15000.0,16699.65854,0,0,0,45,1,1,0,10.736027041947786,1,1,0,2.5649493574615367,1,0,1,1,0,1,0,0,7.492353532966741,0,0,0,0,1,9.61587214452889,9.7232034311603,0.8982219584414196,0.8,12000.0,0.1494391666542134,0,0.1195513333253632,0,0,0,0,0,1,0,0,0.3262146057081855,0,0.0389993910652211,0,0,0,1,0,0,0,0,1,0,0,1,2069190,11,2016,4,11,0,0,4,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0,1,0,0,0,0.2128502415458937,1,9,2,0.0389993910652211,0.1195513333253632,0.1494391666542134,0.2609716845665484,0.1073836327609496,0.1073836327609496,32.60490849809258,230.769227218935,0,1,1,0,0,0,0,0,0,0,0,0,9.35099451958699,0,1,1,0.0
51,1.0,84,82167,1,1,8,0,1,0,877.52,1,15000.0,4998.0271,0,0,0,16,0,0,0,11.31652121084564,1,1,0,2.19722457733622,1,0,1,0,0,0,1,0,6.778238673446552,0,0,0,0,1,9.61587214452889,8.516998592483093,3.0011842066640284,1.0,15000.0,0.0585013333294332,0,0.0585013333294332,0,0,0,1,0,0,0,0,0.1825550403424422,0,0.0106797132667533,0,0,1,1,0,0,0,0,1,0,1,0,1314672,6,2016,2,11,1,0,5,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0,0,0,1,1,0.0833074935400516,0,8,2,0.0106797132667533,0.0585013333294332,0.0585013333294332,0.1825550403424422,0.1755732776687878,0.1755732776687878,10.446666542301587,294.11764129181097,1,1,0,0,0,0,0,0,0,0,0,0,8.085437706134027,2,0,-2,0.0
51,1.0,46,111998,1,1,0,0,97,1,1974.98,4,15000.0,18490.05859,0,0,0,54,1,0,1,11.626245221665943,0,0,0,0.0,1,0,1,0,0,1,0,0,7.588819756799101,0,0,0,0,1,9.61587214452889,9.82504257477046,0.8112467532850989,0.7,10500.0,0.1880933333154197,0,0.1316653333245556,0,0,0,0,0,0,1,0,0.1339309630517158,0,0.0176340648938585,0,0,0,0,1,0,0,0,0,1,0,0,6047892,9,2016,3,11,1,0,6,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210292e-16,0,0,0,0,1,0.2271023965141612,1,6,2,0.0176340648938585,0.1316653333245556,0.1880933333154197,0.093751674136201,0.1068130741868669,0.1068130741868669,42.93434689273159,294.11764129181097,0,0,0,0,0,0,0,0,0,0,0,0,6.105804389363151,4,1,-3,0.0
63,1.0,72,59794,1,0,0,0,95,1,3851.14,2,94282.05097648971,38644.86554,0,0,0,28,0,0,0,10.998677324402909,0,0,0,0.0,1,0,1,0,0,1,0,0,8.256384117013532,1,0,0,0,1,11.454056717329289,10.562195076495488,2.439704464140568,0.9,84853.84587884074,0.0453855680914392,0,0.0408470112823434,0,0,0,0,0,0,0,0,1.576781131466584,1,0.0644067966674849,0,0,0,0,0,0,1,0,1,0,0,0,1674232,6,2016,2,14,0,0,1,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,0,0,0,1,0,0.1174928774928775,0,3,1,0.0644067966674849,0.0408470112823434,0.0453855680914392,1.4191030183199258,0.0996546357733903,0.0996546357733903,53.48805481266591,1496.5404679357025,0,0,0,0,0,0,0,0,0,0,0,0,3.1932203900024545,1,1,0,0.0
