age_of_driver,safty_rating,annual_income,past_num_of_claims,liab_prct,claim_est_payout,age_of_vehicle,vehicle_price,vehicle_weight,log_claim_est_payout,log_annual_income,payout_income_ratio,witness_present_ind,policy_report_filed_ind,address_change_ind,high_education_ind,gender,marital_status,living_status,accident_site,channel,vehicle_category,vehicle_color,claim_day_of_week,fraud
58,83,117115,0,88,0.0,4,55066.87556348014,21515.14956,0.0,11.670920175606447,0.0,1.0,0,0,1,M,1.0,Own,Local,Broker,Medium,other,Thursday,0
37,76,57945,14,2,0.0,1,29937.566096358787,22570.44842,0.0,10.96726682136399,0.0,0.0,1,0,1,F,0.0,Rent,Parking Lot,Broker,Large,blue,Monday,0
33,82,79027,0,95,0.0,1,15000.0,10701.0886,0.0,11.277557499033296,0.0,1.0,1,0,1,F,0.0,Rent,Local,Broker,Compact,black,Saturday,0
43,40,98544,0,100,850.63,1,92867.35440769266,21434.93439,6.747152160205322,11.498268575626595,0.00863189405855193,0.0,0,0,1,F,0.0,Own,Parking Lot,Broker,Large,white,Monday,1
43,84,62619,9,58,3375.85,1,74071.73486331945,48036.29694,8.12469860127646,11.044839994880396,0.053910092622165444,0.0,0,1,1,F,1.0,Own,Parking Lot,Broker,Medium,blue,Thursday,0
33,24,67660,10,67,237.85,1,39595.265915836535,26329.90983,5.475835739835971,11.122265222006739,0.003515319016863481,0.0,1,1,1,M,0.0,Own,Highway,Broker,Compact,blue,Saturday,0
65,55,45982,12,100,1793.27,3,15000.0,16699.65854,7.4923535329667414,10.736027041947786,0.03899854293978209,0.0,1,1,1,F,1.0,Own,Local,Broker,Large,red,Friday,0
51,84,82167,8,1,877.52,1,15000.0,4998.0271,6.778238673446552,11.31652121084564,0.01067958329276604,0.0,0,1,1,F,1.0,Own,Local,Broker,Compact,white,Saturday,0
51,46,111998,0,97,1974.98,4,15000.0,18490.05859,7.588819756799101,11.626245221665943,0.01763390744560219,0.0,1,1,1,F,1.0,Rent,Local,Online,Medium,black,Sunday,0
63,72,59794,0,95,3851.14,2,94282.05097648971,38644.86554,8.256384117013532,10.998677324402907,0.0644057195417677,0.0,1,0,1,F,1.0,Own,Local,Broker,Compact,black,Tuesday,0
47,43,108888,0,13,3995.36,7,15000.0,15800.7448,8.293139225800665,11.598084293718179,0.036692044191791645,0.0,0,1,1,M,1.0,Own,Parking Lot,Broker,Large,other,Thursday,0
59,91,110812,0,41,0.0,4,48796.87560924169,23175.18071,0.0,11.615599374932724,0.0,0.0,1,1,1,F,1.0,Own,Local,Broker,Compact,red,Monday,0
41,70,92973,14,50,0.0,11,15000.0,23605.10513,0.0,11.440075163155973,0.0,0.0,1,0,0,M,1.0,Rent,Local,Phone,Large,red,Saturday,1
31,86,92834,9,69,606.92,1,15000.0,22086.44797,6.41004329436153,11.438579002841571,0.006537620509506113,0.0,1,1,0,M,1.0,Own,Highway,Broker,Medium,other,Friday,1
48,89,89906,0,47,5122.01,1,15000.0,17695.01417,8.541497435918558,11.406531081722104,0.05697009131658269,0.0,1,0,1,M,1.0,Own,Highway,Broker,Large,black,Wednesday,0
58,73,35649,14,81,1136.73,1,34786.85982300338,27563.54692,7.036790328188083,10.481504425842441,0.031885834502103784,0.0,1,0,1,M,1.0,Rent,Parking Lot,Broker,Compact,red,Saturday,0
62,96,55856,0,0,1916.13,1,15000.0,21797.50318,7.558584555039526,10.930550132364163,0.034304205381599444,1.0,1,1,1,F,1.0,Own,Parking Lot,Broker,Compact,gray,Sunday,0
50,73,99220,18,63,1302.25,13,15000.0,35564.86548,7.172616423648216,11.505104964417434,0.013124741738140112,0.0,1,1,1,M,1.0,Rent,Highway,Broker,Medium,silver,Thursday,0
44,69,43182,0,76,0.0,1,78576.37704529995,10820.43667,0.0,10.673202178264951,0.0,0.0,0,0,0,F,0.0,Own,Local,Broker,Compact,blue,Tuesday,1
47,53,83923,0,50,8020.52,1,100192.47751196906,12325.49515,8.98988320908728,11.337666906376592,0.09556884800533817,0.0,1,1,0,M,1.0,Own,Local,Broker,Medium,white,Friday,0
46,90,62666,2,100,0.0,13,30203.14335634287,21249.2847,0.0,11.045590272278766,0.0,1.0,1,1,0,F,1.0,Rent,Parking Lot,Broker,Compact,other,Friday,0
34,89,33337,4,60,0.0,1,15000.0,20418.65669,0.0,10.414453166503034,0.0,0.0,0,0,1,F,1.0,Rent,Local,Broker,Medium,red,Tuesday,0
23,62,91385,0,69,3849.37,1,44895.04385822643,8576.747176,8.25592452656025,11.422847572843558,0.04212209747663756,0.0,1,1,1,M,1.0,Rent,Local,Online,Large,gray,Sunday,0
57,88,83116,0,98,0.0,1,15000.0,8777.104216,0.0,11.328004532725227,0.0,0.0,1,1,1,F,1.0,Own,Highway,Broker,Large,silver,Sunday,0
34,91,103597,10,33,0.0,9,21118.107210708928,16819.073809999998,0.0,11.54827330360187,0.0,1.0,1,1,0,M,1.0,Rent,Local,Broker,Medium,gray,Wednesday,0
44,64,60604,19,88,0.0,1,36580.63735817265,14633.77049,0.0,11.012132676904612,0.0,0.0,0,1,1,M,1.0,Own,Parking Lot,Phone,Large,silver,Monday,0
31,86,46061,5,83,0.0,8,70686.32661512695,22254.32271,0.0,10.737743594055953,0.0,0.0,0,0,1,M,0.0,Own,Local,Broker,Large,red,Sunday,0
40,81,124779,0,97,10575.87,11,15736.407035284592,25426.55061,9.266424820432817,11.734307465664777,0.08475613079019075,0.0,0,0,1,F,1.0,Rent,Local,Broker,Large,silver,Tuesday,0
66,78,70593,18,49,3892.51,1,15000.0,16194.0599,8.267066343396944,11.164700434034138,0.05513938861659631,0.0,1,1,1,M,1.0,Rent,Local,Online,Compact,blue,Monday,0
55,57,53823,5,81,0.0,1,15000.0,50159.58494,0.0,10.89347474333262,0.0,0.0,1,1,1,F,1.0,Own,Local,Online,Compact,other,Monday,0
38,77,102835,0,51,1041.65,3,15000.0,11806.88752,6.949520828214605,11.54089076525193,0.010129234898284649,0.0,1,0,1,M,1.0,Own,Parking Lot,Broker,Large,blue,Thursday,0
