accident_parking,age_of_driver,high_education_ind,age_of_driver_sq,marital_status,address_change_ind,witness_absent,no_verification,claim_year,zip_rate_x_accident_highway,age_of_driver_x_safty_rating,female_x_witness_absent,vehicle_price_per_driver_age,safty_rating,safty_rating_x_liab_prct,age_over_safety,age_of_driver_x_liab_prct,safety_risk_score,day_of_week_sin,female_x_liab_prct,fraud
0,58,1,3364,1.0,0,0,0,2015,0.0,4814,0,949.4288726560565,83,7304,0.6904761904761905,5104,17,0.4338837391175582,0,0.0
1,37,1,1369,0.0,0,1,1,2015,0.0,2812,1,809.1233861414973,76,152,0.4805194805194805,74,24,0.0,2,0.0
0,33,1,1089,0.0,0,0,0,2016,0.0,2706,0,454.5454407713503,82,7790,0.3975903614457831,3135,18,-0.9749279121818236,95,0.0
1,43,1,1849,0.0,0,1,1,2015,0.0,1720,1,2159.705866232251,40,4000,1.048780487804878,4300,60,0.0,100,1.0
1,43,1,1849,1.0,1,1,1,2016,0.0,3612,1,1722.5984451330469,84,4872,0.5058823529411764,2494,16,0.4338837391175582,58,0.0
0,33,1,1089,0.0,1,1,1,2016,0.1589300411522634,792,0,1199.8565065448497,24,1608,1.32,2211,76,-0.9749279121818236,0,0.0
0,65,1,4225,1.0,1,1,1,2016,0.0,3575,1,230.769227218935,55,5500,1.1607142857142858,6500,45,-0.433883739117558,100,0.0
0,51,1,2601,1.0,1,1,1,2016,0.0,4284,1,294.11764129181097,84,84,0.6,51,16,-0.9749279121818236,1,0.0
0,51,1,2601,1.0,1,1,1,2016,0.0,2346,1,294.11764129181097,46,4462,1.0851063829787233,4947,54,-0.7818314824680299,97,0.0
0,63,1,3969,1.0,0,1,1,2016,0.0,4536,1,1496.5404679357025,72,6840,0.863013698630137,5985,28,0.7818314824680298,95,0.0
1,47,1,2209,1.0,1,1,1,2016,0.0,2021,0,319.14892937981006,43,559,1.068181818181818,611,57,0.4338837391175582,0,0.0
0,59,1,3481,1.0,1,1,1,2015,0.0,5369,1,827.0656742741697,91,3731,0.6413043478260869,2419,9,0.0,41,0.0
0,41,0,1681,1.0,0,1,1,2015,0.0,2870,0,365.8536496133256,70,3500,0.5774647887323944,2050,30,-0.9749279121818236,0,1.0
0,31,0,961,1.0,1,1,1,2016,0.1944159544159544,2666,0,483.8709521331951,86,5934,0.3563218390804598,2139,14,-0.433883739117558,0,1.0
0,48,1,2304,1.0,0,1,1,2015,0.0974940898345153,4272,0,312.49999348958346,89,4183,0.5333333333333333,2256,11,0.9749279121818236,0,0.0
1,58,1,3364,1.0,0,1,1,2016,0.0,4234,0,599.773434883275,73,5913,0.7837837837837838,4698,27,-0.9749279121818236,0,0.0
1,62,1,3844,1.0,1,0,0,2015,0.0,5952,0,241.9354799687826,96,0,0.6391752577319587,0,4,-0.7818314824680299,0,0.0
0,50,1,2500,1.0,1,1,1,2015,0.1702801932367149,3650,0,299.99999400000013,73,4599,0.6756756756756757,3150,27,0.4338837391175582,0,0.0
0,44,0,1936,0.0,0,1,1,2015,0.0,3036,1,1785.8267104425736,69,5244,0.6285714285714286,3344,31,0.7818314824680298,76,1.0
0,47,0,2209,1.0,1,1,1,2015,0.0,2491,0,2131.754795323708,53,2650,0.8703703703703703,2350,47,-0.433883739117558,0,0.0
1,46,0,2116,1.0,1,0,0,2016,0.0,4140,0,656.5900586902785,90,9000,0.5054945054945055,4600,10,-0.433883739117558,100,0.0
0,34,1,1156,1.0,0,1,1,2015,0.0,3026,1,441.1764576124572,89,5340,0.3777777777777777,2040,11,0.7818314824680298,60,0.0
0,23,1,529,1.0,1,1,1,2015,0.0,1426,0,1951.9583437507863,62,4278,0.365079365079365,1587,38,-0.7818314824680299,0,0.0
